ID	CONCEPT	DOCULECT	IPA	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	PARTIAL_IDS	ALIGNMENT
10	1pl excl	dul	tite	t i t e	1 7 1 7	AXBZ	TITE	3	3.T.C 3.I.V 3.T.C 3.E.V	2.0 1.5 1.75 0.8	0	2	t i t e
11	1pl excl	alk	kame	k a m e	1 7 4 7	AXBZ	KAME	2	2.K.C 2.A.V 2.M.C 2.E.V	2.0 1.5 1.75 0.8	0	1	k a m e
12	1pl excl	alb	kame	k a m e	1 7 4 7	AXBZ	KAME	1	1.K.C 1.A.V 1.M.C 1.E.V	2.0 1.5 1.75 0.8	0	1	k a m e
13	1pl incl	dul	tite	t i t e	1 7 1 7	AXBZ	TITE	3	3.T.C 3.I.V 3.T.C 3.E.V	2.0 1.5 1.75 0.8	1	3	t i t e
14	1pl incl	alk	kame	k a m e	1 7 4 7	AXBZ	KAME	2	2.K.C 2.A.V 2.M.C 2.E.V	2.0 1.5 1.75 0.8	1	4	k a m e
15	1pl incl	alb	ite	i t e	7 1 7	XBZ	ITE	1	1.I.V 1.T.C 1.E.V	1.5 1.75 0.8	0	5	i t e
1	1sg	dul	gɔ	g ɔ	1 7	AX	KU	3	3.K.C 3.U.V	2.0 1.5	0	6	g ɔ
2	1sg	alk	go	g o	1 7	AX	KU	2	2.K.C 2.U.V	2.0 1.5	0	6	g o
3	1sg	alb	go	g o	1 7	AX	KU	1	1.K.C 1.U.V	2.0 1.5	0	6	g o
16	2pl	dul	punauŋ	p u n a u ŋ	1 7 4 7 7 4	AXBYYN	PYNAYN	3	3.P.C 3.Y.V 3.N.C 3.A.V 3.Y.V 3.N.c	2.0 1.5 1.75 1.3 1.3 0.8	0	8	p u n a u ŋ
17	2pl	alk	mi	m i	4 7	AX	MI	2	2.M.C 2.I.V	2.0 1.5	0	7	m i
18	2pl	alb	mi	m i	4 7	AX	MI	1	1.M.C 1.I.V	2.0 1.5	0	7	m i
4	2sg (informal)	dul	mi	m i	4 7	AX	MI	3	3.M.C 3.I.V	2.0 1.5	0	10	m i
5	2sg (informal)	alk	mo	m o	4 7	AX	MU	2	2.M.C 2.U.V	2.0 1.5	0	9	m o
6	2sg (informal)	alb	mo	m o	4 7	AX	MU	1	1.M.C 1.U.V	2.0 1.5	0	9	m o
19	3pl	dul	feː	f eː	3 7	AX	BE	3	3.B.C 3.E.V	2.0 1.5	0	11	f eː
20	3pl	alk	fe	f e	3 7	AX	BE	2	2.B.C 2.E.V	2.0 1.5	0	11	f e
21	3pl	alb	fe	f e	3 7	AX	BE	1	1.B.C 1.E.V	2.0 1.5	0	11	f e
7	3sg	dul	no	n o	4 7	AX	NU	3	3.N.C 3.U.V	2.0 1.5	0	12	n o
8	3sg	alk	no	n o	4 7	AX	NU	2	2.N.C 2.U.V	2.0 1.5	0	12	n o
9	3sg	alb	no	n o	4 7	AX	NU	1	1.N.C 1.U.V	2.0 1.5	0	12	n o
